,ATP,HTGD,ATGD,DiffFormPts,DiffPts,DiffLP,FTR
341,49,-8.0,-2.0,2,-6,5.0,H
342,48,-39.0,-2.0,-7,-36,13.0,A
343,76,16.0,36.0,-1,-15,3.0,A
344,49,-23.0,5.0,0,-21,11.0,D
345,39,-4.0,-10.0,0,9,-6.0,H
346,54,-22.0,5.0,-3,-25,12.0,H
347,61,30.0,16.0,-2,-4,-1.0,D
348,44,5.0,-6.0,-4,5,-5.0,H
349,29,-13.0,-22.0,0,16,-7.0,D
350,29,1.0,-23.0,10,22,-12.0,H
351,12,-25.0,-40.0,6,20,-3.0,H
352,51,-11.0,-3.0,5,-9,2.0,H
353,43,-11.0,0.0,2,-4,1.0,A
354,73,-4.0,27.0,-11,-24,6.0,A
355,51,-21.0,1.0,-4,-19,11.0,D
356,54,-5.0,4.0,3,-7,7.0,A
357,79,49.0,37.0,0,9,-1.0,H
358,39,27.0,-11.0,10,34,-13.0,H
359,42,0.0,-11.0,-7,1,3.0,A
360,46,-9.0,-16.0,1,-2,3.0,A
361,35,-4.0,-24.0,-3,16,-7.0,A
362,52,15.0,7.0,3,10,-3.0,H
363,44,34.0,-9.0,6,35,-12.0,D
364,61,-43.0,33.0,-6,-49,16.0,A
365,49,-26.0,-5.0,-2,-20,10.0,A
366,91,6.0,52.0,-8,-34,5.0,H
367,44,7.0,-9.0,0,8,-6.0,D
368,61,-1.0,33.0,-5,-18,11.0,A
369,45,-43.0,-10.0,-8,-33,8.0,H
370,51,35.0,-5.0,7,13,-6.0,H
371,15,-14.0,-42.0,0,24,-4.0,H
372,43,7.0,-3.0,4,17,-9.0,H
373,34,7.0,-21.0,-1,19,-10.0,H
374,29,-15.0,-27.0,3,20,-8.0,D
375,45,-11.0,-9.0,4,0,-2.0,H
376,47,34.0,-10.0,4,33,-11.0,H
377,91,4.0,51.0,1,-36,6.0,H
378,79,-23.0,30.0,-5,-41,14.0,A
379,65,-4.0,16.0,-4,-13,4.0,H
410,3,4.0,-3.0,3,3,-17.0,H
411,4,3.0,-2.0,3,3,3.0,H
412,3,8.0,-2.0,6,6,-4.0,H
413,4,-2.0,-3.0,-1,-1,13.0,A
414,3,7.0,-1.0,4,4,9.0,H
415,1,-3.0,-5.0,0,0,8.0,D
416,7,1.0,3.0,-3,-3,4.0,D
417,4,-1.0,-2.0,-1,-1,-6.0,H
418,3,0.0,-4.0,1,1,-5.0,D
419,7,-3.0,7.0,-4,-4,10.0,A
420,4,6.0,-1.0,6,6,6.0,D
421,6,-3.0,0.0,-4,-4,10.0,A
422,8,-3.0,3.0,-7,-7,9.0,D
423,4,-5.0,-3.0,-2,-2,-4.0,H
424,4,5.0,-3.0,5,5,-1.0,H
425,5,9.0,0.0,7,7,-3.0,A
426,7,-3.0,-2.0,-4,-4,5.0,D
427,6,1.0,0.0,-1,-1,2.0,A
428,6,-3.0,0.0,-2,-2,-10.0,H
429,2,0.0,-3.0,3,3,-14.0,H
430,3,3.0,-5.0,6,6,-8.0,H
431,12,-2.0,6.0,-4,-4,-2.0,A
432,4,-1.0,-3.0,3,3,-2.0,H
433,5,-5.0,-1.0,-1,-1,-1.0,H
434,5,-4.0,-3.0,0,0,2.0,A
435,12,1.0,8.0,-3,-3,7.0,D
436,2,-1.0,-3.0,3,3,-20.0,D
437,11,-2.0,6.0,-5,-5,7.0,D
438,8,9.0,1.0,5,5,2.0,A
439,7,1.0,-1.0,1,1,4.0,H
440,11,-7.0,4.0,-7,-8,15.0,A
441,12,8.0,5.0,1,3,-9.0,D
442,7,6.0,-3.0,2,5,-8.0,D
443,5,-7.0,-5.0,-4,-3,6.0,H
444,5,-2.0,-2.0,3,3,10.0,H
445,7,8.0,-2.0,6,6,-12.0,H
446,13,-6.0,8.0,-6,-9,-4.0,H
447,10,-3.0,1.0,-5,-5,7.0,A
448,8,-3.0,-4.0,-5,-5,20.0,D
449,3,4.0,-3.0,7,8,-16.0,H
450,7,5.0,-5.0,5,6,6.0,D
451,11,0.0,-1.0,-4,-1,-7.0,D
452,5,-3.0,-6.0,3,3,-4.0,D
453,13,-6.0,6.0,-7,-8,6.0,H
454,5,7.0,-4.0,8,8,-6.0,H
455,16,2.0,8.0,-3,-3,6.0,A
456,16,-4.0,10.0,-8,-11,-1.0,A
457,14,-4.0,4.0,-6,-7,6.0,A
458,3,-4.0,-8.0,5,6,-19.0,H
459,9,5.0,-4.0,1,4,11.0,D
460,4,-9.0,-6.0,-3,-1,-1.0,D
461,16,9.0,9.0,4,3,-7.0,H
462,6,5.0,-6.0,1,7,-12.0,H
463,9,0.0,-3.0,0,-1,-14.0,H
464,17,-1.0,5.0,-2,-5,3.0,A
465,11,12.0,0.0,3,8,-2.0,H
466,7,-5.0,-5.0,1,1,-1.0,H
467,17,1.0,11.0,-5,-4,4.0,A
468,5,-5.0,-6.0,4,3,-10.0,H
469,13,11.0,5.0,9,4,-2.0,D
470,22,6.0,14.0,3,-2,6.0,A
471,11,-3.0,1.0,-1,2,0.0,A
472,15,-2.0,5.0,0,-4,-8.0,H
473,4,-6.0,-9.0,0,3,-6.0,D
474,13,8.0,-3.0,-1,3,1.0,H
475,22,-8.0,10.0,-9,-16,16.0,A
476,11,-6.0,-4.0,-4,-6,15.0,D
477,12,-7.0,-2.0,-10,-7,5.0,H
478,11,-7.0,-4.0,-2,-2,2.0,H
479,11,6.0,1.0,6,9,7.0,A
480,12,-9.0,-6.0,-6,-7,5.0,H
481,17,-4.0,7.0,-1,-4,-6.0,H
482,13,0.0,-5.0,3,1,-5.0,H
483,19,18.0,10.0,7,6,-8.0,H
484,6,-6.0,-10.0,-2,2,-5.0,A
485,11,-6.0,-5.0,-2,-5,8.0,H
486,12,3.0,-3.0,-1,3,1.0,H
487,25,-4.0,12.0,-5,-13,3.0,H
488,18,-6.0,10.0,-7,-10,11.0,H
489,25,-3.0,18.0,-6,-13,9.0,A
490,9,11.0,-4.0,4,16,-18.0,H
491,18,6.0,5.0,-1,-1,-5.0,A
492,8,-7.0,-7.0,4,4,1.0,D
493,11,-7.0,-5.0,0,0,-3.0,H
494,16,7.0,-3.0,-2,3,9.0,D
495,20,-9.0,1.0,-2,-11,11.0,D
496,8,3.0,-8.0,7,9,-19.0,H
497,17,13.0,2.0,3,4,1.0,H
498,15,-7.0,-3.0,-8,-2,3.0,H
499,8,13.0,-7.0,9,13,-9.0,D
500,11,15.0,-6.0,6,17,-13.0,H
501,21,5.0,1.0,-3,-4,-1.0,H
502,17,-7.0,-3.0,-3,-4,14.0,H
503,17,-6.0,-1.0,2,-3,9.0,D
504,9,7.0,-8.0,2,11,-11.0,H
505,8,-5.0,-9.0,-2,8,-11.0,H
506,31,-9.0,22.0,-10,-21,17.0,A
507,15,-6.0,-5.0,-7,-3,5.0,D
508,21,3.0,6.0,5,-3,-11.0,D
509,14,6.0,-6.0,-1,7,-1.0,D
510,22,0.0,11.0,-1,-1,3.0,H
511,20,-11.0,6.0,-2,-12,13.0,D
512,19,-5.0,-3.0,-1,-2,-8.0,A
