,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HF,AF,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,DiffPts,DiffFormPts,DiffLP,HTGD,ATGD
825,H,11,11,W,W,W,D,L,W,10.0,15.0,17.0,4.0,9.0,1.0,10.0,1.0,2.0,2.0,0.0,1.0,0,2,-1,2.0,1.0
826,H,11,10,W,L,W,L,W,W,16.0,15.0,12.0,13.0,4.0,8.0,1.0,5.0,1.0,3.0,0.0,0.0,1,-2,2,4.0,3.0
827,A,7,11,W,L,W,W,W,W,14.0,11.0,17.0,11.0,9.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,-4,-3,18,-2.0,2.0
828,D,11,5,D,L,W,D,D,L,8.0,18.0,16.0,6.0,4.0,1.0,9.0,4.0,1.0,1.0,1.0,0.0,6,3,-15,1.0,-2.0
829,D,4,3,W,L,L,L,L,W,15.0,8.0,10.0,12.0,6.0,7.0,7.0,8.0,3.0,2.0,0.0,0.0,1,0,4,-11.0,-4.0
830,H,13,11,D,W,L,L,W,L,7.0,10.0,16.0,12.0,12.0,8.0,3.0,9.0,0.0,0.0,0.0,0.0,2,0,-3,3.0,2.0
831,H,9,7,W,D,L,W,L,L,4.0,7.0,25.0,13.0,17.0,7.0,8.0,4.0,1.0,1.0,0.0,0.0,2,1,-10,0.0,-6.0
832,A,8,12,D,W,L,W,L,D,11.0,4.0,14.0,14.0,12.0,8.0,10.0,2.0,1.0,0.0,0.0,0.0,-4,-4,8,-4.0,2.0
833,A,10,19,L,L,W,W,W,W,15.0,14.0,9.0,16.0,4.0,12.0,3.0,14.0,2.0,2.0,0.0,0.0,-9,-8,7,2.0,12.0
834,A,8,15,L,D,L,W,D,D,11.0,10.0,9.0,14.0,3.0,10.0,5.0,6.0,2.0,1.0,0.0,0.0,-7,-6,10,1.0,10.0
835,H,10,8,L,L,W,D,L,W,17.0,21.0,13.0,13.0,9.0,5.0,2.0,6.0,0.0,4.0,0.0,0.0,2,-4,-8,0.0,-2.0
836,D,5,11,D,L,D,D,W,L,10.0,13.0,19.0,7.0,12.0,7.0,13.0,3.0,2.0,3.0,0.0,0.0,-6,-5,5,-2.0,3.0
837,H,11,10,D,W,L,L,L,W,17.0,12.0,5.0,8.0,5.0,3.0,7.0,4.0,3.0,2.0,0.0,0.0,1,3,-4,3.0,2.0
838,H,14,8,W,W,W,L,D,L,12.0,6.0,17.0,6.0,12.0,2.0,12.0,2.0,1.0,1.0,0.0,0.0,6,7,-13,4.0,1.0
839,H,19,8,W,W,W,D,W,L,10.0,9.0,18.0,11.0,8.0,7.0,8.0,2.0,0.0,2.0,0.0,1.0,11,11,-12,12.0,-4.0
840,H,15,8,W,W,L,L,D,W,15.0,13.0,17.0,6.0,5.0,5.0,6.0,7.0,3.0,1.0,0.0,0.0,7,3,-12,3.0,-3.0
841,A,5,12,D,D,L,D,L,D,17.0,8.0,13.0,15.0,7.0,8.0,5.0,5.0,5.0,1.0,0.0,0.0,-7,0,14,-4.0,-1.0
842,A,7,12,D,D,D,W,W,D,7.0,17.0,13.0,14.0,10.0,8.0,8.0,5.0,1.0,0.0,0.0,0.0,-5,-3,9,-2.0,3.0
843,D,16,6,D,W,D,D,D,L,18.0,10.0,21.0,11.0,9.0,6.0,5.0,3.0,0.0,1.0,0.0,0.0,10,6,-7,10.0,-2.0
844,H,16,8,W,D,W,L,D,L,11.0,13.0,18.0,17.0,13.0,11.0,8.0,8.0,2.0,3.0,0.0,0.0,8,2,-4,5.0,-4.0
845,H,14,13,W,L,W,W,L,L,13.0,19.0,15.0,11.0,10.0,6.0,8.0,2.0,2.0,1.0,0.0,0.0,1,2,7,3.0,2.0
846,H,7,5,L,W,L,D,L,W,9.0,18.0,11.0,7.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2,-1,-2,-9.0,-16.0
847,H,22,5,W,W,W,D,D,L,14.0,20.0,19.0,1.0,9.0,0.0,5.0,3.0,1.0,5.0,0.0,0.0,17,10,-13,13.0,-4.0
848,A,14,17,W,D,W,W,W,W,8.0,8.0,11.0,21.0,5.0,13.0,3.0,9.0,2.0,2.0,2.0,0.0,-3,-5,5,4.0,5.0
849,H,15,7,W,W,L,L,W,L,8.0,7.0,11.0,13.0,6.0,7.0,4.0,9.0,0.0,0.0,0.0,0.0,8,7,-11,3.0,-9.0
850,A,13,19,L,W,L,W,D,W,8.0,14.0,6.0,17.0,1.0,7.0,9.0,6.0,1.0,2.0,2.0,0.0,-6,-3,1,1.0,11.0
851,D,7,5,L,D,D,L,D,L,10.0,10.0,13.0,13.0,9.0,9.0,6.0,8.0,0.0,2.0,1.0,0.0,2,0,-3,-4.0,-17.0
852,H,19,8,W,W,D,L,L,D,17.0,12.0,12.0,13.0,4.0,8.0,6.0,7.0,3.0,2.0,0.0,0.0,11,6,-10,7.0,-4.0
853,A,8,15,L,L,D,W,D,L,9.0,9.0,7.0,9.0,4.0,6.0,6.0,6.0,1.0,1.0,0.0,0.0,-7,-1,11,-6.0,0.0
854,A,8,15,L,L,L,W,W,W,9.0,9.0,7.0,15.0,0.0,8.0,3.0,2.0,2.0,3.0,0.0,0.0,-7,-9,6,-4.0,5.0
855,H,13,8,W,L,L,L,L,D,8.0,17.0,12.0,16.0,7.0,10.0,6.0,7.0,3.0,2.0,0.0,0.0,5,2,-5,3.0,-6.0
856,H,17,7,W,W,L,D,D,D,12.0,7.0,15.0,11.0,7.0,4.0,5.0,5.0,2.0,2.0,0.0,0.0,10,5,1,5.0,-2.0
857,H,8,8,L,L,D,L,L,L,11.0,12.0,16.0,8.0,10.0,5.0,6.0,5.0,0.0,1.0,0.0,0.0,0,3,5,-4.0,-4.0
858,H,15,19,W,D,L,W,W,D,13.0,12.0,16.0,7.0,9.0,4.0,9.0,3.0,2.0,2.0,0.0,0.0,-4,-5,-7,0.0,7.0
859,H,20,8,W,W,W,L,L,D,10.0,15.0,18.0,7.0,14.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,12,11,-12,9.0,-6.0
860,D,18,14,W,W,W,D,W,L,18.0,9.0,10.0,10.0,3.0,3.0,11.0,5.0,2.0,4.0,0.0,0.0,4,9,-2,7.0,3.0
861,H,10,17,L,W,L,L,W,W,14.0,10.0,12.0,6.0,5.0,2.0,5.0,8.0,0.0,1.0,0.0,0.0,-7,-3,6,-10.0,4.0
862,D,8,8,L,L,L,D,L,D,13.0,16.0,8.0,8.0,6.0,3.0,9.0,1.0,1.0,4.0,1.0,0.0,0,0,-2,-8.0,-4.0
863,D,5,15,L,L,D,D,L,W,15.0,13.0,13.0,8.0,6.0,3.0,7.0,3.0,2.0,1.0,0.0,0.0,-10,-6,10,-7.0,1.0
864,A,6,13,D,L,D,L,L,W,11.0,12.0,5.0,7.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,-7,2,15,-17.0,0.0
865,D,20,26,D,W,D,D,W,W,16.0,10.0,11.0,11.0,8.0,4.0,4.0,1.0,3.0,3.0,0.0,0.0,-6,-4,1,11.0,15.0
866,A,7,21,L,D,D,W,W,W,11.0,14.0,9.0,9.0,6.0,4.0,10.0,2.0,4.0,3.0,0.0,0.0,-14,-9,4,-4.0,6.0
867,D,26,23,D,W,W,W,W,W,15.0,15.0,16.0,10.0,6.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,3,-2,2,15.0,12.0
868,H,15,6,D,L,W,D,L,D,7.0,20.0,15.0,8.0,7.0,2.0,7.0,4.0,0.0,3.0,0.0,0.0,9,3,-14,1.0,-17.0
869,D,21,20,W,W,W,D,W,D,7.0,11.0,15.0,11.0,7.0,7.0,6.0,3.0,0.0,1.0,0.0,0.0,1,3,3,6.0,11.0
870,H,16,11,W,L,L,W,L,L,14.0,22.0,16.0,7.0,9.0,6.0,6.0,5.0,0.0,1.0,0.0,0.0,5,2,-14,2.0,-4.0
871,H,9,13,D,D,L,W,L,W,11.0,6.0,9.0,13.0,7.0,6.0,8.0,9.0,3.0,0.0,1.0,0.0,-4,-5,-1,-4.0,-9.0
872,D,8,7,L,L,L,L,L,D,13.0,8.0,5.0,9.0,3.0,4.0,6.0,7.0,1.0,0.0,0.0,0.0,1,-2,2,-11.0,-5.0
873,A,17,19,L,L,W,D,W,W,15.0,15.0,14.0,10.0,7.0,7.0,4.0,5.0,2.0,2.0,0.0,0.0,-2,-7,4,1.0,7.0
874,A,8,21,L,L,L,W,W,W,16.0,9.0,10.0,13.0,3.0,7.0,4.0,3.0,2.0,1.0,0.0,0.0,-13,-10,12,-7.0,8.0
875,D,15,6,D,D,W,D,L,L,13.0,13.0,9.0,11.0,7.0,6.0,8.0,3.0,2.0,1.0,0.0,0.0,9,2,-6,3.0,-7.0
876,H,22,9,L,W,W,D,L,L,11.0,14.0,7.0,8.0,3.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,13,8,-6,2.0,-8.0
877,A,6,15,L,D,L,D,D,W,12.0,9.0,9.0,16.0,2.0,11.0,4.0,5.0,2.0,2.0,0.0,0.0,-9,-3,10,-19.0,3.0
878,H,21,9,D,D,W,D,D,L,9.0,12.0,20.0,5.0,12.0,3.0,8.0,2.0,0.0,2.0,0.0,0.0,12,5,-13,11.0,-4.0
879,D,9,17,D,L,L,L,L,W,10.0,15.0,19.0,9.0,8.0,5.0,7.0,4.0,1.0,2.0,0.0,0.0,-8,-4,3,-8.0,1.0
880,A,11,21,L,W,L,W,W,D,17.0,8.0,13.0,13.0,8.0,6.0,8.0,5.0,3.0,2.0,0.0,0.0,-10,-7,13,-6.0,4.0
881,D,7,9,D,D,L,D,L,L,16.0,22.0,15.0,8.0,7.0,7.0,6.0,7.0,1.0,2.0,0.0,0.0,-2,2,3,-7.0,-11.0
882,D,24,19,W,W,W,W,W,L,13.0,16.0,15.0,6.0,10.0,2.0,9.0,1.0,2.0,2.0,0.0,0.0,5,4,-3,10.0,4.0
883,H,27,22,D,W,W,L,D,W,7.0,19.0,22.0,12.0,15.0,7.0,9.0,4.0,1.0,4.0,0.0,1.0,5,3,-6,15.0,4.0
884,D,22,25,W,D,W,W,L,W,11.0,7.0,20.0,10.0,12.0,5.0,9.0,1.0,1.0,1.0,0.0,0.0,-3,1,-1,10.0,3.0
885,H,8,8,D,L,L,L,L,L,8.0,16.0,19.0,6.0,8.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0,0,3,-3,-5.0,-9.0
886,A,13,30,L,W,L,W,D,D,9.0,5.0,8.0,16.0,5.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,-17,-5,15,-11.0,17.0
887,H,30,8,W,D,D,L,L,L,9.0,17.0,13.0,7.0,6.0,2.0,7.0,3.0,1.0,4.0,0.0,0.0,22,11,-11,17.0,-9.0
888,A,11,22,L,W,L,W,D,W,17.0,21.0,4.0,15.0,3.0,8.0,4.0,3.0,3.0,2.0,0.0,0.0,-11,-10,11,-6.0,10.0
889,H,7,27,D,D,L,D,W,W,16.0,13.0,6.0,13.0,5.0,3.0,4.0,6.0,3.0,0.0,0.0,0.0,-20,-10,15,-7.0,15.0
890,A,6,25,L,L,L,D,W,W,8.0,6.0,9.0,9.0,4.0,5.0,3.0,2.0,0.0,1.0,0.0,1.0,-19,-12,18,-26.0,10.0
891,H,20,10,D,W,W,D,L,D,9.0,13.0,24.0,13.0,18.0,7.0,2.0,6.0,0.0,1.0,0.0,0.0,10,5,-10,4.0,-9.0
892,H,26,13,D,W,L,L,L,W,12.0,15.0,13.0,5.0,9.0,3.0,2.0,7.0,0.0,2.0,0.0,0.0,13,4,-9,3.0,-13.0
893,A,10,24,D,D,L,W,W,W,16.0,17.0,15.0,11.0,8.0,8.0,11.0,6.0,2.0,1.0,0.0,0.0,-14,-8,7,-11.0,7.0
894,A,18,27,L,D,L,W,W,D,13.0,11.0,6.0,17.0,2.0,11.0,0.0,8.0,3.0,1.0,0.0,0.0,-9,-7,8,-2.0,16.0
895,D,12,23,L,W,D,D,L,D,19.0,10.0,5.0,12.0,2.0,10.0,3.0,6.0,2.0,1.0,0.0,0.0,-11,-3,10,-4.0,4.0
896,D,19,11,D,W,D,W,D,L,33.0,5.0,14.0,9.0,9.0,5.0,7.0,8.0,3.0,4.0,0.0,0.0,8,4,-1,8.0,-1.0
897,A,23,24,D,L,D,W,W,W,11.0,16.0,16.0,7.0,10.0,7.0,11.0,2.0,0.0,1.0,1.0,0.0,-1,-2,1,4.0,7.0
898,A,24,33,W,W,W,W,W,D,16.0,10.0,11.0,14.0,5.0,9.0,4.0,7.0,3.0,2.0,0.0,0.0,-9,-1,3,7.0,19.0
899,H,23,18,D,L,D,L,D,L,21.0,17.0,13.0,20.0,6.0,8.0,1.0,1.0,2.0,3.0,0.0,0.0,5,4,-5,4.0,-2.0
900,H,28,19,W,D,W,L,D,W,15.0,26.0,14.0,4.0,5.0,1.0,7.0,0.0,5.0,3.0,0.0,0.0,9,7,-8,12.0,7.0
901,D,26,23,W,D,W,W,D,W,14.0,13.0,20.0,4.0,6.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,3,1,3,12.0,10.0
902,D,13,10,L,L,L,L,D,D,11.0,16.0,12.0,16.0,7.0,11.0,5.0,4.0,2.0,1.0,0.0,0.0,3,1,5,-14.0,-14.0
903,H,10,6,L,D,L,L,L,L,12.0,15.0,20.0,12.0,9.0,9.0,5.0,3.0,1.0,1.0,0.0,0.0,4,1,-5,-15.0,-28.0
904,D,8,29,L,L,L,W,D,W,13.0,10.0,5.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,0.0,-21,-10,5,-15.0,4.0
905,H,30,11,W,W,W,W,D,D,11.0,14.0,23.0,6.0,14.0,3.0,5.0,5.0,0.0,3.0,0.0,0.0,19,5,-12,20.0,-6.0
906,A,12,11,D,W,D,L,L,L,10.0,13.0,17.0,7.0,9.0,3.0,12.0,3.0,0.0,1.0,1.0,0.0,1,2,-8,-1.0,-9.0
907,H,30,13,L,W,D,D,L,W,3.0,13.0,15.0,12.0,11.0,3.0,7.0,3.0,2.0,1.0,0.0,0.0,17,4,-16,16.0,-4.0
908,D,18,36,L,L,D,W,W,W,9.0,10.0,12.0,6.0,8.0,2.0,6.0,6.0,3.0,2.0,0.0,0.0,-18,-10,9,-4.0,20.0
909,A,27,26,W,W,W,W,D,W,18.0,23.0,14.0,12.0,6.0,8.0,7.0,5.0,2.0,5.0,0.0,0.0,1,2,-2,11.0,12.0
910,H,31,13,W,W,D,W,L,D,6.0,12.0,11.0,9.0,4.0,2.0,10.0,2.0,0.0,1.0,0.0,1.0,18,8,-13,13.0,-14.0
911,H,24,13,D,W,D,L,D,L,9.0,9.0,15.0,6.0,11.0,4.0,12.0,7.0,0.0,2.0,0.0,0.0,11,6,-12,10.0,-6.0
912,H,33,6,W,L,W,L,L,L,12.0,12.0,23.0,10.0,12.0,6.0,9.0,3.0,0.0,2.0,0.0,0.0,27,10,-19,18.0,-29.0
913,H,19,14,D,L,L,W,L,L,10.0,8.0,17.0,7.0,9.0,4.0,6.0,5.0,1.0,2.0,0.0,0.0,5,-4,-7,-4.0,-8.0
914,H,14,30,D,L,L,L,W,W,10.0,10.0,7.0,15.0,4.0,5.0,7.0,7.0,0.0,1.0,0.0,0.0,-16,-6,14,-14.0,18.0
915,A,26,22,W,L,D,W,L,D,15.0,17.0,15.0,11.0,7.0,5.0,9.0,5.0,1.0,1.0,0.0,0.0,4,-3,-3,2.0,8.0
916,H,11,9,L,W,D,D,L,L,13.0,11.0,8.0,11.0,6.0,7.0,5.0,11.0,2.0,1.0,0.0,0.0,2,5,2,-10.0,-15.0
917,H,11,37,D,L,D,D,W,W,15.0,13.0,13.0,7.0,7.0,4.0,5.0,4.0,2.0,2.0,0.0,0.0,-26,-8,10,-14.0,20.0
918,H,12,30,L,D,W,D,W,D,7.0,13.0,12.0,7.0,8.0,3.0,2.0,6.0,2.0,3.0,0.0,1.0,-18,-3,2,-2.0,4.0
919,D,14,14,W,L,L,D,L,L,12.0,19.0,15.0,10.0,9.0,6.0,6.0,6.0,2.0,1.0,0.0,0.0,0,2,1,-8.0,-14.0
920,A,6,14,L,L,L,W,D,L,6.0,7.0,13.0,7.0,9.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,-8,-6,7,-32.0,-13.0
921,A,13,22,L,L,D,W,D,L,17.0,10.0,10.0,6.0,5.0,4.0,7.0,6.0,0.0,1.0,0.0,0.0,-9,-1,5,-9.0,-3.0
922,H,30,14,L,D,W,W,L,W,12.0,12.0,15.0,9.0,11.0,3.0,6.0,4.0,1.0,1.0,0.0,0.0,16,0,-7,3.0,-7.0
923,A,30,15,W,D,W,W,L,D,22.0,13.0,9.0,12.0,5.0,5.0,4.0,4.0,3.0,2.0,0.0,0.0,15,3,-3,14.0,-1.0
924,D,13,27,L,W,L,L,L,W,17.0,14.0,9.0,14.0,7.0,11.0,5.0,13.0,2.0,2.0,0.0,0.0,-14,-5,9,-16.0,8.0
925,A,22,27,L,W,L,W,D,W,16.0,14.0,11.0,12.0,3.0,8.0,9.0,2.0,1.0,2.0,0.0,0.0,-5,-4,5,6.0,13.0
926,H,9,26,L,D,L,L,W,L,17.0,24.0,9.0,9.0,7.0,5.0,6.0,4.0,4.0,4.0,0.0,1.0,-17,-3,7,-18.0,1.0
927,H,37,34,L,D,W,W,W,W,19.0,12.0,11.0,10.0,5.0,7.0,3.0,5.0,5.0,5.0,0.0,0.0,3,-3,1,19.0,15.0
928,A,30,36,L,L,W,W,W,L,14.0,13.0,19.0,5.0,6.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,-6,-1,3,17.0,21.0
929,H,37,15,L,D,W,W,L,D,10.0,10.0,9.0,10.0,5.0,5.0,5.0,1.0,1.0,3.0,0.0,0.0,22,2,-8,19.0,-1.0
930,D,28,33,D,L,L,W,L,D,15.0,15.0,9.0,6.0,6.0,2.0,7.0,4.0,2.0,4.0,0.0,0.0,-5,-1,-3,8.0,5.0
931,H,14,15,L,W,L,D,L,W,14.0,18.0,10.0,4.0,6.0,1.0,7.0,2.0,3.0,2.0,0.0,0.0,-1,3,-3,-9.0,-9.0
932,D,13,12,L,L,L,W,L,D,15.0,16.0,9.0,10.0,3.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,1,-3,3,-10.0,-16.0
933,H,33,30,W,L,L,L,W,D,13.0,11.0,14.0,9.0,7.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,3,1,-4,20.0,13.0
934,A,17,25,W,W,D,W,L,W,15.0,12.0,7.0,8.0,2.0,4.0,7.0,4.0,2.0,3.0,0.0,0.0,-8,1,3,-12.0,7.0
935,H,18,14,D,W,D,D,L,W,9.0,17.0,17.0,8.0,9.0,4.0,7.0,2.0,0.0,4.0,0.0,0.0,4,0,3,-12.0,-16.0
936,A,26,34,L,L,W,L,W,W,15.0,14.0,16.0,10.0,7.0,8.0,7.0,11.0,1.0,2.0,0.0,0.0,-8,-6,5,-1.0,14.0
937,H,39,30,W,W,W,W,W,D,10.0,13.0,18.0,4.0,11.0,2.0,8.0,2.0,3.0,3.0,0.0,0.0,9,1,-4,22.0,15.0
938,D,25,6,W,W,D,L,L,L,12.0,20.0,23.0,9.0,13.0,6.0,9.0,2.0,2.0,2.0,0.0,0.0,19,7,-8,-2.0,-33.0
939,H,15,17,D,L,W,W,W,D,13.0,6.0,13.0,18.0,5.0,12.0,12.0,9.0,1.0,2.0,0.0,0.0,-2,-4,6,-9.0,-12.0
940,D,37,29,W,L,W,D,D,L,7.0,11.0,14.0,9.0,8.0,4.0,3.0,7.0,3.0,2.0,2.0,1.0,8,7,-4,15.0,8.0
941,A,7,36,D,L,L,W,W,L,9.0,9.0,9.0,22.0,4.0,10.0,2.0,7.0,1.0,0.0,0.0,0.0,-29,-8,16,-33.0,21.0
942,H,30,17,L,W,W,W,L,W,8.0,18.0,18.0,9.0,10.0,7.0,7.0,4.0,0.0,3.0,0.0,0.0,13,1,-11,14.0,-6.0
943,D,30,43,L,L,W,W,W,L,15.0,9.0,9.0,12.0,6.0,6.0,4.0,7.0,2.0,1.0,0.0,0.0,-13,-3,5,10.0,21.0
944,A,14,42,L,D,L,W,W,W,14.0,12.0,10.0,17.0,3.0,11.0,4.0,3.0,2.0,1.0,0.0,0.0,-28,-8,14,-17.0,23.0
945,H,18,14,L,W,W,D,L,L,10.0,17.0,12.0,9.0,8.0,4.0,3.0,5.0,1.0,4.0,0.0,1.0,4,5,-6,-1.0,-10.0
946,D,26,21,D,W,L,W,D,W,8.0,6.0,18.0,13.0,11.0,10.0,10.0,6.0,2.0,2.0,0.0,1.0,5,-1,-8,7.0,-11.0
947,H,13,26,D,W,L,D,W,W,13.0,22.0,8.0,7.0,6.0,6.0,3.0,2.0,1.0,4.0,0.0,0.0,-13,-3,2,-16.0,-2.0
948,D,34,26,D,W,L,L,L,L,10.0,16.0,5.0,7.0,2.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,8,5,2,5.0,-2.0
949,D,15,14,L,D,L,D,L,L,13.0,14.0,15.0,10.0,6.0,7.0,8.0,6.0,0.0,3.0,0.0,1.0,1,2,2,-12.0,-10.0
950,H,38,26,D,W,L,L,D,W,9.0,11.0,16.0,3.0,10.0,2.0,12.0,3.0,1.0,2.0,0.0,0.0,12,2,-10,15.0,-3.0
951,A,33,44,W,L,W,D,W,W,14.0,13.0,10.0,10.0,3.0,7.0,10.0,2.0,0.0,5.0,1.0,1.0,-11,2,2,16.0,21.0
952,A,31,17,D,L,L,L,L,W,10.0,17.0,18.0,13.0,9.0,7.0,4.0,4.0,1.0,4.0,0.0,0.0,14,-2,-5,10.0,-16.0
953,H,14,17,L,L,D,L,W,L,12.0,16.0,5.0,5.0,5.0,3.0,2.0,6.0,1.0,2.0,0.0,0.0,-3,-2,-1,-21.0,-8.0
954,H,21,22,W,L,W,D,W,D,9.0,12.0,14.0,11.0,12.0,8.0,3.0,6.0,0.0,3.0,0.0,0.0,-1,0,-7,3.0,-11.0
955,H,29,45,W,D,W,W,W,W,10.0,12.0,11.0,7.0,5.0,3.0,6.0,3.0,2.0,0.0,0.0,0.0,-16,-5,9,8.0,27.0
956,A,16,30,W,D,W,D,D,D,18.0,9.0,3.0,5.0,3.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0,-14,5,8,-15.0,8.0
957,A,7,27,L,D,L,D,L,L,14.0,13.0,13.0,23.0,7.0,18.0,9.0,7.0,1.0,3.0,0.0,0.0,-20,-3,13,-34.0,-2.0
958,D,35,37,D,D,W,D,W,W,4.0,7.0,4.0,19.0,3.0,11.0,2.0,9.0,0.0,1.0,0.0,0.0,-2,-1,5,5.0,21.0
959,H,44,29,D,W,W,W,D,W,5.0,7.0,21.0,15.0,13.0,7.0,5.0,7.0,0.0,3.0,0.0,0.0,15,-2,-7,21.0,8.0
960,H,33,24,W,D,D,W,W,L,5.0,16.0,14.0,9.0,4.0,6.0,8.0,2.0,0.0,3.0,0.0,0.0,9,-6,-5,9.0,5.0
961,A,15,41,D,L,D,W,D,W,7.0,8.0,5.0,11.0,2.0,5.0,4.0,8.0,1.0,0.0,0.0,0.0,-26,-8,15,-14.0,16.0
962,H,45,19,L,W,W,D,W,L,11.0,8.0,18.0,11.0,13.0,4.0,2.0,0.0,1.0,4.0,0.0,0.0,26,7,-18,26.0,-9.0
963,A,20,33,W,L,L,L,W,L,18.0,11.0,7.0,5.0,4.0,3.0,5.0,6.0,0.0,1.0,0.0,0.0,-13,0,8,-15.0,13.0
964,A,22,31,L,D,W,L,D,L,10.0,6.0,9.0,18.0,5.0,13.0,5.0,4.0,3.0,1.0,1.0,0.0,-9,4,10,-13.0,9.0
965,H,30,17,W,D,L,W,L,L,12.0,11.0,8.0,7.0,3.0,4.0,7.0,3.0,3.0,4.0,0.0,1.0,13,0,-8,-1.0,-19.0
966,H,17,7,L,L,W,L,L,D,8.0,10.0,12.0,9.0,5.0,3.0,11.0,7.0,2.0,3.0,0.0,0.0,10,5,-4,-10.0,-35.0
967,D,38,16,D,D,W,L,W,D,13.0,16.0,15.0,6.0,11.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,22,1,-10,21.0,-16.0
968,A,26,36,L,L,D,D,D,D,8.0,12.0,16.0,12.0,10.0,7.0,8.0,7.0,0.0,3.0,0.0,0.0,-10,1,3,-4.0,5.0
969,D,47,19,W,D,W,D,W,L,8.0,10.0,16.0,2.0,9.0,2.0,14.0,3.0,1.0,2.0,0.0,0.0,28,5,-16,24.0,-9.0
970,H,36,22,W,W,D,L,L,D,15.0,11.0,14.0,6.0,8.0,3.0,13.0,7.0,0.0,2.0,0.0,0.0,14,4,-12,10.0,-15.0
971,H,44,24,W,W,D,L,W,W,17.0,11.0,8.0,6.0,6.0,2.0,4.0,7.0,2.0,4.0,0.0,0.0,20,1,-9,17.0,4.0
972,A,7,17,L,L,L,D,L,W,12.0,16.0,2.0,12.0,1.0,4.0,1.0,6.0,1.0,2.0,1.0,0.0,-10,-7,6,-36.0,-16.0
973,H,36,39,W,L,W,W,D,D,14.0,12.0,10.0,5.0,5.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,-3,0,-4,15.0,7.0
974,H,48,26,W,L,W,L,L,L,7.0,7.0,30.0,7.0,21.0,5.0,16.0,1.0,1.0,1.0,0.0,1.0,22,8,-11,27.0,-6.0
975,D,20,39,L,W,L,D,D,D,4.0,11.0,8.0,14.0,3.0,7.0,3.0,9.0,1.0,1.0,0.0,0.0,-19,-3,9,-17.0,21.0
976,H,32,15,W,L,W,L,D,L,19.0,13.0,12.0,9.0,9.0,2.0,8.0,7.0,0.0,1.0,0.0,0.0,17,8,-7,7.0,-15.0
977,A,20,33,W,L,L,W,W,D,17.0,18.0,9.0,13.0,5.0,6.0,2.0,6.0,2.0,1.0,0.0,0.0,-13,-1,9,-9.0,0.0
978,H,17,34,L,W,L,W,L,D,14.0,6.0,12.0,9.0,5.0,5.0,7.0,5.0,3.0,1.0,0.0,0.0,-17,0,7,-20.0,11.0
979,A,19,44,L,D,W,W,W,D,9.0,5.0,15.0,12.0,7.0,9.0,6.0,10.0,1.0,1.0,0.0,0.0,-25,-5,17,-10.0,17.0
980,D,36,21,W,W,W,D,L,W,7.0,26.0,14.0,10.0,5.0,5.0,6.0,3.0,1.0,3.0,0.0,0.0,15,6,-6,1.0,-17.0
981,A,15,51,L,L,D,D,W,W,13.0,10.0,5.0,11.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,-36,-9,14,-16.0,26.0
982,D,26,20,L,L,L,L,W,L,14.0,15.0,13.0,7.0,5.0,5.0,9.0,6.0,1.0,2.0,0.0,0.0,6,-5,-4,-12.0,-10.0
983,H,34,7,L,W,L,L,L,L,14.0,9.0,18.0,8.0,8.0,5.0,6.0,2.0,1.0,2.0,0.0,0.0,27,3,-12,9.0,-37.0
984,A,22,51,L,L,L,W,W,L,11.0,8.0,9.0,21.0,6.0,9.0,8.0,6.0,1.0,1.0,0.0,0.0,-29,-8,17,-17.0,33.0
985,H,24,20,L,L,W,W,L,W,13.0,13.0,17.0,14.0,13.0,8.0,6.0,7.0,2.0,2.0,0.0,0.0,4,0,-4,2.0,-18.0
986,D,39,33,L,W,D,D,W,L,15.0,20.0,11.0,11.0,6.0,5.0,5.0,10.0,2.0,4.0,0.0,0.0,6,-2,-1,6.0,7.0
987,A,20,39,W,D,L,W,W,L,15.0,15.0,14.0,11.0,3.0,6.0,5.0,5.0,1.0,2.0,0.0,0.0,-19,-1,9,-15.0,16.0
988,D,40,39,D,D,D,W,W,W,11.0,15.0,17.0,4.0,7.0,3.0,8.0,2.0,2.0,2.0,0.0,0.0,1,-4,-2,21.0,12.0
