,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HF,AF,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,DiffPts,DiffFormPts,DiffLP,HTGD,ATGD
2391,A,13,19,L,D,D,W,W,W,11.0,9.0,7.0,20.0,4.0,14.0,1.0,6.0,3.0,0.0,0.0,0.0,-6,-7,9,-2.0,2.0
2392,A,12,12,L,L,L,L,L,W,17.0,10.0,17.0,9.0,7.0,8.0,9.0,5.0,4.0,2.0,0.0,0.0,0,-1,-3,-11.0,-10.0
2393,D,10,10,L,D,W,L,W,L,8.0,12.0,13.0,13.0,8.0,9.0,6.0,7.0,1.0,1.0,0.0,0.0,0,-1,4,1.0,-1.0
2394,A,13,26,D,W,D,W,W,L,6.0,9.0,9.0,13.0,6.0,7.0,6.0,2.0,0.0,1.0,0.0,0.0,-13,-2,9,-3.0,16.0
2395,H,11,9,L,L,W,W,L,L,12.0,12.0,16.0,8.0,9.0,6.0,7.0,5.0,1.0,0.0,0.0,0.0,2,1,-8,-7.0,-9.0
2396,D,5,6,L,L,L,L,D,L,14.0,13.0,21.0,6.0,11.0,2.0,7.0,3.0,2.0,3.0,0.0,1.0,-1,-2,-4,-13.0,-11.0
2397,A,22,19,W,L,L,D,W,D,13.0,11.0,18.0,9.0,5.0,3.0,6.0,5.0,3.0,2.0,0.0,0.0,3,0,-2,9.0,4.0
2398,H,25,15,W,W,W,W,D,L,4.0,5.0,20.0,5.0,9.0,1.0,11.0,3.0,0.0,2.0,0.0,0.0,10,6,-12,8.0,1.0
2399,D,19,10,W,W,W,L,W,L,9.0,7.0,20.0,10.0,12.0,6.0,13.0,4.0,1.0,3.0,0.0,0.0,9,6,-6,2.0,-1.0
2400,A,9,16,L,W,L,W,W,L,9.0,10.0,8.0,17.0,7.0,14.0,2.0,4.0,1.0,1.0,1.0,0.0,-7,-3,11,-10.0,-1.0
2401,H,22,11,L,W,L,L,W,L,10.0,10.0,17.0,7.0,11.0,2.0,9.0,2.0,1.0,2.0,0.0,0.0,11,2,-14,8.0,-7.0
2402,D,29,25,W,W,W,L,W,W,12.0,15.0,23.0,8.0,13.0,6.0,11.0,3.0,1.0,4.0,0.0,1.0,4,0,-3,17.0,7.0
2403,H,13,15,L,L,D,W,L,L,15.0,7.0,15.0,13.0,8.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,-2,-2,-5,-3.0,-9.0
2404,H,12,7,L,L,L,D,L,D,10.0,5.0,8.0,16.0,5.0,12.0,2.0,6.0,0.0,0.0,0.0,0.0,5,0,-5,-12.0,-11.0
2405,A,11,6,D,L,D,D,L,L,12.0,13.0,17.0,7.0,11.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,5,4,-2,1.0,-13.0
2406,A,14,28,W,L,L,W,W,W,11.0,13.0,9.0,23.0,5.0,14.0,1.0,10.0,2.0,1.0,0.0,0.0,-14,-6,6,-6.0,10.0
2407,D,22,34,W,D,W,W,W,W,11.0,13.0,17.0,7.0,9.0,3.0,8.0,5.0,1.0,4.0,0.0,1.0,-12,-6,7,5.0,31.0
2408,D,13,15,L,D,W,L,W,D,9.0,17.0,6.0,9.0,2.0,4.0,4.0,6.0,3.0,4.0,0.0,0.0,-2,1,-5,-4.0,-1.0
2409,A,15,29,L,W,D,W,W,W,4.0,11.0,7.0,11.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,-14,-6,14,-1.0,17.0
2410,H,7,14,L,D,L,D,L,D,12.0,13.0,14.0,10.0,9.0,5.0,3.0,4.0,1.0,1.0,0.0,1.0,-7,-4,8,-13.0,-4.0
2411,H,35,16,D,W,W,W,L,L,8.0,7.0,21.0,5.0,16.0,2.0,12.0,4.0,0.0,1.0,0.0,0.0,19,8,-11,31.0,-2.0
2412,A,26,25,D,L,W,W,L,W,7.0,6.0,16.0,21.0,9.0,13.0,6.0,5.0,2.0,3.0,0.0,0.0,1,4,-1,7.0,11.0
2413,D,15,14,L,W,L,L,W,L,7.0,9.0,14.0,15.0,4.0,10.0,3.0,5.0,0.0,3.0,0.0,0.0,1,0,7,-10.0,-8.0
