,Unnamed: 0,HomeTeam,AwayTeam,FTR
259,259,Burnley,Chelsea,A
260,260,Newcastle,Brighton,D
261,261,Norwich,Brentford,D
262,262,Wolves,Crystal Palace,D
263,263,Liverpool,West Ham,H
264,264,Watford,Arsenal,A
265,265,Man City,Man United,H
266,266,Tottenham,Everton,H
267,267,Norwich,Chelsea,A
268,268,Southampton,Newcastle,H
269,269,Wolves,Watford,H
270,270,Leeds,Aston Villa,A
271,271,Brighton,Liverpool,A
272,272,Brentford,Burnley,H
273,273,Man United,Tottenham,H
274,274,Chelsea,Newcastle,H
275,275,Everton,Wolves,A
276,276,Leeds,Norwich,H
277,277,Southampton,Watford,H
278,278,West Ham,Aston Villa,H
279,279,Arsenal,Leicester,H
280,280,Crystal Palace,Man City,A
281,281,Brighton,Tottenham,A
282,282,Arsenal,Liverpool,A
283,283,Everton,Newcastle,A
284,284,Wolves,Leeds,A
285,285,Aston Villa,Arsenal,A
286,286,Leicester,Brentford,H
287,287,Tottenham,West Ham,H
288,288,Liverpool,Watford,H
289,289,Brighton,Norwich,H
290,290,Burnley,Man City,A
291,291,Chelsea,Brentford,H
292,292,Leeds,Southampton,A
293,293,Wolves,Aston Villa,D
294,294,Man United,Leicester,H
295,295,West Ham,Everton,H
296,296,Tottenham,Newcastle,H
297,297,Crystal Palace,Arsenal,A
298,298,Burnley,Everton,D
299,299,Newcastle,Wolves,D
300,300,Everton,Man United,A
301,301,Arsenal,Brighton,H
302,302,Southampton,Chelsea,A
303,303,Watford,Leeds,A
304,304,Aston Villa,Tottenham,A
305,305,Brentford,West Ham,H
306,306,Leicester,Crystal Palace,D
307,307,Norwich,Burnley,A
308,308,Man City,Liverpool,H
309,309,Tottenham,Brighton,H
310,310,Man United,Norwich,H
311,311,Southampton,Arsenal,A
312,312,Watford,Brentford,A
313,313,Newcastle,Leicester,D
314,314,West Ham,Burnley,H
315,315,Liverpool,Man United,H
316,316,Chelsea,Arsenal,H
317,317,Everton,Leicester,D
318,318,Newcastle,Crystal Palace,D
319,319,Man City,Brighton,H
320,320,Burnley,Southampton,D
321,321,Arsenal,Man United,D
322,322,Leicester,Aston Villa,D
323,323,Man City,Watford,H
324,324,Norwich,Newcastle,A
325,325,Brentford,Tottenham,A
326,326,Brighton,Southampton,A
327,327,Burnley,Wolves,A
328,328,Chelsea,West Ham,H
329,329,Liverpool,Everton,H
330,330,Crystal Palace,Leeds,H
331,331,Man United,Chelsea,A
